TWEET,true_emoji,pred_emoji
lol bet ️,relaxed,blush
I bet,wink,weary
lol alright bet,yum,smirk
Rih performing three times tonight? bet,heart_eyes,weary
mcdonalds,sob,yum
I could eat subway everyday of my life,yum,heart_eyes
I bet,smirk,weary
brotherly love on BET,heart_eyes,blush
I bet you are,weary,wink
want starbucks,sob,weary
I be tryna tell y'all,weary,sob
Same,smirk,weary
YES ! I'm so hungry,weary,wink
I just want Starbucks,sob,weary
Bet Tht Up Then,wink,blush
Starbucks,smirk,yum
Starbucks,blush,yum
I want some subway,blush,weary
Dead ass,weary,sob
ard bet,smirk,blush
subway,sob,yum
Mcdonalds,heart_eyes,yum
I want Starbucks,sob,weary
Hell yea had me stressin bout how I was gone tell chassity,weary,sob
Nedro from Burgerking,heart_eyes,sob
Starbucks date?,blush,smirk
I bet,blush,weary
I bet,grin,weary
"oooo damn look how far you've come since the last time you were there, I bet with a lot less books this time",smirk,blush
I lived my Wildcat dreams last night!,grin,sob
i bet,yum,weary
Came down the chimney I'll bet #sciencefacts,wink,sob
been here since 2011 &amp; you can bet I can name all of your music ️,relaxed,heart_eyes
Starbucks in the morning,blush,weary
I got my subway,weary,grin
Tell me why when I took my lid off there was a fckin bug in there️ brb gonna die,weary,sob
Starbucks .. They can take all my money,heart_eyes,weary
I want Starbucks,heart_eyes,weary
I love getting free Starbucks,weary,blush
I want Starbucks,yum,weary
I want,sob,weary
I bet,wink,weary
i bet you would,sob,smirk
You ain't gotta like me bet you know my name tho,smirk,wink
bet that,heart_eyes,blush
I bet it is,smirk,wink
I've had so much energy today!! Guess that's what happens when you wake up in a good mood &amp; drink a venti Starbucks #gettingshitdone,blush,sob
Brotherly Love on BET,heart_eyes,blush
I bet ️,relaxed,weary
mcdonalds,wink,yum
I bet,heart_eyes,weary
wanna bet?,blush,smirk
"Animals, corporate bailouts, Starbucks, and watching a black guy fuck their wife silly",smirk,sob
Starbucks sound good rn,yum,weary
I bet it is,heart_eyes,wink
damn.. I bet.,weary,sob
Both,wink,heart_eyes
I bet you did.,blush,weary
Relatable,grin,sob
got my subway,blush,yum
I bet,sob,weary
I want Starbucks,yum,weary
I want some Starbucks,sob,weary
I Want Some Subway,yum,weary
I bet,smirk,weary
You ain't gotta like me bet you know my name tho,smirk,wink
Someone bring me McDonalds,wink,sob
okay bet,sob,blush
I want Starbucks,sob,weary
look what I found at the Saratoga Starbucks this morning. Upstander drink sleeves!,blush,heart_eyes
Whoaaaaaaaa bet the Cowboys could redo that one,sob,heart_eyes
Really want some subway,sob,weary
No meeeee,sob,weary
subway,heart_eyes,yum
I bet you are,smirk,wink
You can ask your lady bet I drove her crazy,yum,blush
I want mcdonalds fries,sob,weary
I bet the neighbors know my name,yum,smirk
Subway sounds soooo good rn,heart_eyes,sob
you bet,blush,wink
The Lowes,blush,sob
starbucks,smirk,yum
please could u send some 350's my way haha? If i don't ask i suppose i don't geti bet u wont even see this #wastedtweet,wink,sob
I bet you won't,smirk,sob
aight bet,smirk,blush
Starbucks sounds great rn,heart_eyes,weary
bet yo as was like woah woah hold up,sob,blush
I'm joking,grin,sob
lmao I bet you did,wink,smirk
Me but with dominos,sob,weary
I want some subway.,weary,yum
Pumpkin spice latte from Starbucks,yum,heart_eyes
"Tell them hoes to compete with me , BET they won't win",yum,sob
aight bet,flushed,blush
Baby future,sob,weary
Oh bet ... 2 can play at this game,wink,sob
I want Starbucks,sob,weary
going to get subway w/,yum,weary
Happy Birthday bebeker!! Bet ko yung attitude mong matapang &amp; being true to yourself. Hope we can get more closer stay…,grin,heart_eyes
you bet I will,smirk,yum
Ard bet hmu,smirk,blush
"You bet, that you did Thank you! Wow,wow, wow!",heart_eyes,blush
I want some Starbucks,yum,weary
I really want Starbucks.,yum,weary
that's a bet,smirk,blush
"iight bet , touch me nd ima hurt you .",blush,wink
sorryyyyyy,heart_eyes,sob
Okay bet ️,relaxed,blush
Lexus making me send this damn message &amp; I hate doing shit like this,weary,sob
You're really gunna embarrass me like that when I'm on your bio ? BET,sob,wink
alright bet,smirk,blush
Subway,blush,yum
Dont Get Me Wrong But I Bet Baeza Gonna Come Out With A Beard Again,heart_eyes,sob
Relatable,weary,sob
starbucks,heart_eyes,yum
Avery from Subway,heart_eyes,weary
I need someone to bet against the patriots so I can win all my money back,weary,wink
I want some Starbucks,yum,weary
I want subway,grin,weary
cologne meaning Starbucks coffee,smirk,heart_eyes
i bet,blush,weary
Starbucks calling my name,yum,weary
Ayyy bet!,heart_eyes,blush
I just want starbucks,sob,weary
that's a bet,yum,blush
that's a bet,sob,blush
I bet it would,yum,wink
that's a bet,yum,blush
So cute!! Omgbet y'all didn't know I had a sensitive side,heart_eyes,sob
I want Starbucks,sob,weary
Special #mallowmondays to celebrate launch RT to win a £20 Starbucks &amp; mallows!,grin,yum
bet I can guess,yum,wink
McDonalds sweeet tea is the best sweet tea,yum,heart_eyes
mommy got me mcdonalds,blush,sob
"Happy Friday! Couldn't decide which breakfast treat to get, so I'll sample a bit of both.",yum,heart_eyes
lmfaooo hoe stories are the bet stories,weary,sob
Starbucks,weary,yum
that's a bet️,relaxed,blush
okay bet.,grin,blush
Someone bring me Starbucks please,blush,sob
Starbucks.,heart_eyes,yum
Now I want Starbucks,sob,weary
Starbucks,wink,yum
Want Starbucks,yum,weary
I bet,grin,weary
Subway,blush,yum
I bet!!!,grin,weary
Starbucks run,grin,yum
"spongeboy all up on my boy pat. wtf wrong w this sus kid, squidy finna run his fade any min now bet",flushed,sob
no way,sob,flushed
Starbucks,wink,yum
ok bet,grin,blush
I'm on yo ass now yes u do she lying,sob,smirk
Better get some money for yo momma or yo hoe boy yo ass bet not be broke,sob,blush
Fuck,sob,heart_eyes
I bet,grin,weary
I bet this is what you had in mind,wink,sob
I want Starbucks,heart_eyes,weary
I really want Starbucks,heart_eyes,weary
"all mine now, bet",yum,sob
Walmart,weary,heart_eyes
i bet,sob,weary
I hate Starbucks,weary,sob
yea I bet,sob,smirk
yeah I bet,weary,smirk
this is me,sob,weary
\ / \ / \/ hyyyyppppeeeedddddddd,blush,sob
Craving Starbucks,sob,weary
OMFG,heart_eyes,sob
amen dominos deliverers hot and ready's️,relaxed,weary
I bet,sob,weary
I want Starbucks.,smirk,weary
That's y they are called women!! : Bet Why,weary,sob
Subway,heart_eyes,yum
... Free ? For life?!,heart_eyes,blush
Starbucks sounds so good,weary,sob
I bet.,blush,smirk
I work a double tomorrow and you can bet your ass I'm not sleeping tonight so that I can catch this,heart_eyes,sob
Happy in Walmart,blush,sob
"I bet you'll start loving me , soon as I start loving someone else, Somebody better than you",blush,smirk
bet wya ?,sob,blush
Me too and Starbucks,blush,weary
10 UNDERCOVER STARBUCKS DRINKS YOU NEED TO TRY,heart_eyes,blush
Starbucks,heart_eyes,yum
"Especially that kind of broccoli, I bet.",smirk,heart_eyes
ok bet,heart_eyes,blush
I bet,wink,weary
I want some subway,yum,weary
Facts ️,relaxed,sob
I like it,yum,blush
If I gotta put a couple things on hold just to get myself situated then so be it bet I be back on my Grizzy Doe,wink,sob
The salted caramel mocha frappuccino at Starbucks is my new favorite,heart_eyes,yum
"Ain't gotta like me, bet you know my name though",smirk,wink
Dominos ordered,heart_eyes,yum
I bet she is,heart_eyes,wink
lmaoo I bet you did,sob,wink
starbucks would be perfect right now,heart_eyes,weary
"Nah, still doesn't make sense! Trust me...",smirk,blush
bet lol,blush,grin
Starbucks,heart_eyes,yum
STARBUCKS!,heart_eyes,yum
bet you we love her more,wink,heart_eyes
She rushing over here after work bet dat,sob,wink
you bet I do,weary,wink
@ Starbucks Argentina,blush,yum
Why is Starbucks so addicting,sob,weary
I bet,wink,weary
Just Like Niggas Talk Bitches Talk &amp; One Thing About Us Females We Don't Hold Water,blush,sob
Dont Make Me Fuck Ya Bitch Bet Im Ya Bitch Type,smirk,sob
wanna bet on it ?,wink,blush
most def ask kemaria I bet she agree,wink,sob
Fire drill when it's pouring rain? You bet ya cause we are linn-mar!!,heart_eyes,sob
you bet!,wink,blush
Man like this legend pls,weary,sob
ard bet,sob,blush
honestly my biggest pet peeve is Starbucks taking forever when they're empty,weary,heart_eyes
I want some subway.,weary,yum
I bet,wink,weary
this nigga in the Metro subway too,sob,weary
Subway .,weary,yum
But of course!,wink,sob
and you can bet your sweet bippy he's missing you,wink,sob
you bet,blush,wink
I bet they will follow you in the next couple of months,blush,sob
You bet,blush,wink
Can someone bring me Starbucks or sonic or a milkshake or some thing,sob,weary
I Fucking Bet They Do,wink,sob
i bet you did,flushed,wink
McDonalds sweeet tea is the best sweet tea,yum,heart_eyes
That's your best bet,blush,wink
I bet they will follow you in the next couple of months,blush,sob
Sooo me,weary,heart_eyes
That song so hard,weary,sob
Oh my god,sob,heart_eyes
Ight bet,yum,smirk
Craving Starbucks right now,flushed,weary
Man like this legend pls,weary,sob
Alright bet,yum,blush
"Pizza, Starbucks, and #NASCARHeatEvolution I love my job.",heart_eyes,sob
Starbucks plsss,heart_eyes,sob
Oh u bet Ashwin..never let go the kid in u..,wink,sob
"""Nigga ain't thinking about that girl""️",relaxed,sob
Someone take me to subway,weary,sob
facts,heart_eyes,sob
i bet,sob,weary
I want Dominos,yum,weary
So true especially with dead threats,weary,sob
I'm outttttt,sob,blush
subway &gt;&gt;,yum,heart_eyes
I want Starbucks.,yum,weary
I want subway,yum,weary
please let this handsome men sing at my wedding i bet im gonna left my hubby as soon as i see them haha,heart_eyes,blush
lol bet,yum,blush
You know we solid boo,blush,sob
When your supervisor buys you Starbucks,grin,yum
bet you and won't try this,wink,sob
oh yeah I bet,smirk,grin
I bet it's cute,sob,smirk
I Bet,blush,weary
I bet ️,relaxed,weary
I bet,smirk,weary
"I bet the lady at Carl's is probably like, ""why Tf is this girl always buying food so late?""",blush,sob
I bet!,wink,blush
You can ask your lady bet I drove her crazy,grin,blush
Who doesn't love winning a bet?,smirk,sob
bet baby,heart_eyes,blush
I want subway,yum,weary
I want starbucks so bad rn,sob,weary
Dominos has some fine employees. The delivery driver was so handsome.,heart_eyes,weary
you bet I am,blush,wink
you bet!,grin,blush
24 hour subway,heart_eyes,yum
Happy #IcedCoffeeDay! #MsMcDavittRunsOnDunkin #foundagiftcardinmypurse,blush,heart_eyes
I bet,grin,weary
Set it off on BET,blush,grin
"You ain't gotta like me, bet you know my name thou",wink,smirk
This guy,weary,sob
Some starbucks would be so good rn,sob,weary
Always,weary,blush
10 UNDERCOVER STARBUCKS DRINKS YOU NEED TO TRY,heart_eyes,blush
I want some subway cookies,sob,weary
I need Starbucks ️,relaxed,weary
No Sense on at Starbucks,heart_eyes,weary
I bet she could never make you cry,smirk,wink
I bet,blush,weary
Bet the girls love you on there,sob,blush
I want starbucks,sob,weary
My mouth smart asf but I bet a bitch won't pop me in it ️,sob,smirk
Bet lol,blush,grin
I bet,wink,weary
Starbucks,heart_eyes,yum
You bet.,blush,wink
Bet I do,flushed,blush
I need Dutch bros asap bc I can't do burnt Starbucks coffee anymore,sob,weary
I want Starbucks,sob,weary
you got all the coins,sob,blush
why doesn't subway have a drive thru,sob,weary
I bet you would,flushed,smirk
put that dick up in her pussy bet she feel it in her toes,yum,smirk
$0.87 iced coffee tomorrow,heart_eyes,weary
alright bet,yum,blush
bet that,sob,blush
Sell out,smirk,sob
I bet all of the other countries get tired of hearing the National Anthem,smirk,sob
that's a bet,grin,blush
It's lit,blush,sob
I bet it did,grin,yum
I bet...,blush,weary
that mcdonalds was 222 good,yum,wink
Subway sounds soooo good rn,heart_eyes,sob
Dont Get Me Wrong But I Bet Baeza Gonna Come Out With A Beard Again,heart_eyes,sob
"I bet $100,000,000 he won't follow me",smirk,sob
I bet you do.,wink,smirk
I bet ️,relaxed,weary
I'm craving McDonalds so bad rn,sob,weary
I just want Starbucks,sob,weary
wanna bet??,blush,grin
i bet you're all cofused rn lemme explain what happened #KevinIsOverParty,weary,sob
u bet,smirk,wink
I'll bet you did,wink,smirk
T-Mobile Tuesdays came through with the 6 Inch Subway sandwich,yum,weary
Starbucks is my life,weary,heart_eyes
ard bet,sob,blush
I need a chai tea from Starbucks,sob,weary
I bet!,wink,blush
yes that's a bet ️we in the same dorm and everything,relaxed,sob
Subway*,blush,sob
I'm craving Starbucks,heart_eyes,weary
I bet,smirk,weary
okay bet,smirk,blush
If I gotta put a couple things on hold just to get myself situated then so be it bet I be back on my Grizzy Doe,wink,sob
Starbucks,smirk,yum
Wow bet Yasmin i thought we was friends,sob,blush
Whaaaadd,heart_eyes,sob
Starbucks line is out the door,weary,heart_eyes
want some mcdonalds,weary,smirk
I bet my #UNEEK never had a better view,wink,blush
&amp; im that friend you bet not trust nah I'm jp,sob,blush
You don't have to like me I bet you know my name though️,relaxed,wink
I bet,sob,weary
Ight bet,blush,smirk
This subway so good,weary,yum
Craving pumpkin bread from Starbucks,heart_eyes,weary
Subway got my stomach hurting,sob,weary
bet you won't tag her,grin,sob
Why are you like this,sob,weary
I fucking bet,weary,sob
I need Starbucks,sob,weary
finally getting Starbucks,weary,yum
I've had starbucks every single day for 1 week now wtf,flushed,weary
Volkswagen golf mk5 tinted 5% looks amazing …,heart_eyes,blush
oh I bet!,heart_eyes,sob
Walmart selling Jordan's now,sob,flushed
I miss you more and bet about to text you !,sob,blush
this &gt;&gt;&gt; man what !,weary,sob
That's my shit,sob,smirk
Obsessed with the mango black tea lemonade from Starbucks,yum,heart_eyes
Oh I bet you do,smirk,wink
You bet,yum,wink
you bet,yum,wink
I want Starbucks,yum,weary
Craving Starbucks,yum,weary
Omm bet I be in that office wit Griffin,sob,weary
I'm just gunna go ahead and bet on in vl tonight.,flushed,grin
My dominos delivery guy was cute af and he gave me a free soda,heart_eyes,weary
"you don't like me , bet you know my name though",heart_eyes,wink
Bet he won't slap her tho HE KNOW WHATS UP,sob,wink
Can't wait for this dominos,heart_eyes,yum
I want subway,yum,weary
Subway sounds so good rn,yum,weary
I want Starbucks,sob,weary
lol Bet,grin,blush
Late night starbucks run,blush,yum
i want Starbucks,sob,weary
Subway,heart_eyes,yum
I want some Starbucks,heart_eyes,weary
I am not playing ️,relaxed,sob
you bet I am,smirk,wink
This is how I'm about to be today @ The Great Wall,heart_eyes,sob
honestly,weary,sob
"I wasn't there can't bet on that , but read it somewhere ,behind every rumor there is a little truth",blush,weary
"spongeboy all up on my boy pat. wtf wrong w this sus kid, squidy finna run his fade any min now bet",flushed,sob
s/o to bae for getting me Starbucks coming in clutch,heart_eyes,sob
I bet ! They're annoying everytime but worst in the middle of the night.,sob,weary
I bet!,grin,blush
yea I bet ya do wish I had a one I would have his eyes like,heart_eyes,sob
I NEED STARBUCKS,flushed,weary
I want subway,sob,weary
I need some Starbucks,sob,weary
Came down the chimney I'll bet #sciencefacts,wink,sob
Enjoyed starbucks and talking with a good friend!,blush,heart_eyes
I want some subway,yum,weary
"lol that's a bet , I'm going come get you tomorrow",blush,wink
Omg russian roulette red velvey mv teaser!!!!!! The video is so cute i bet the song is really good tho cant wait,sob,weary
Tell me why when I took my lid off there was a fckin bug in there️ brb gonna die,weary,sob
Sum i'd say to Erika,sob,weary
I haven't had Starbucks in forever,weary,sob
I bet you would,wink,smirk
I want some subway,yum,weary
Same,grin,weary
I swear,flushed,sob
Omg I want Starbucks,heart_eyes,weary
Guys like this lord have mercy.,heart_eyes,sob
So much work to complete :') 10$$$$ bet a migraine will happen tomorrow,blush,weary
"oh fr ? That's a bet bitch, see you there best friend",wink,sob
does anyone else people watch when there in like starbucks or somewhere and when you get caught it's like heyyyy,flushed,sob
Craving McDonalds,grin,weary
I bet,sob,weary
oooo bet,yum,smirk
I wants Starbucks,blush,weary
i just want some starbucks,sob,weary
Bet where u wanna go,blush,sob
Subway*,blush,sob
Lmao bet,sob,blush
Sheetz,blush,yum
I want,sob,weary
ok bet,grin,blush
I bet it is,grin,wink
Oh shit,sob,weary
lmao bet,wink,blush
Starbucks sounds so good rn,yum,weary
Starbucks,heart_eyes,yum
Starbucks,heart_eyes,yum
mcdonalds,sob,yum
ok bet,wink,blush
Harry,grin,smirk
I've had starbucks every single day for 1 week now wtf,flushed,weary
thank you,heart_eyes,blush
"You ain't gotta like me, bet you know my name tho",grin,wink
That song so hard,weary,sob
Thank you to whoever paid for my Starbucks this morning it made my day!,heart_eyes,sob
starbucks,heart_eyes,yum
Bet lol,wink,grin
bet you would,weary,sob
I just got 5 pairs of socks from American Eagle and you can bet I'm gonna wear every pair this week,heart_eyes,sob
Nak subway,yum,sob
bet i don't,sob,blush
want subway,yum,weary
you bet,smirk,wink
There needs to be a Starbucks on the hill,sob,weary
Soml,grin,weary
bet | tinashe,heart_eyes,sob
I bet you I'll steal yo dude in my chef uniform and then cook him dinner,sob,blush
i bet you're all cofused rn lemme explain what happened #KevinIsOverParty,weary,sob
I bet it was,smirk,wink
it's the last day of Summer and I bet it's still gunna be fucking hot af the rest of the year,sob,weary
You know that's true foh! Don't say it if you ain't about it squadddd,heart_eyes,sob
from mcdonalds,wink,weary
That dominos hit the spot,yum,heart_eyes
I want Mcdonalds,blush,weary
I want Starbucks,sob,weary
i bet it was,weary,wink
"Bet, cause I go to school Monday",sob,blush
If tracking devices was on iPhone headphones everytime i locate mine when they gone i bet one of the guys then took em,weary,sob
Ight bet,yum,smirk
Starbucks,wink,yum
10 UNDERCOVER STARBUCKS DRINKS YOU NEED TO TRY,heart_eyes,blush
I took maddie's little brother Aidan to Starbucks and a movie and he's so thankful and sweet I love him so much,sob,heart_eyes
you bet!,smirk,blush
Oh bet ... 2 can play at this game,wink,sob
I bet,sob,weary
#ICONFESS I'm lowkey addicted to starbucks,weary,heart_eyes
Do you work at Starbucks? because I like you a latte,wink,smirk
Bet you can't guess where we are! Time for all the delicious food! Mmmmm who else is going this year?,wink,blush
I bet...lol,wink,sob
crazy thing is I was like I'm bout to lose 15 dollars lol that was a dumb bet,sob,smirk
I just want Starbucks and to take a long ass nap,sob,weary
fuuu subway sounds bomb,sob,weary
Starbucks before class,grin,heart_eyes
I bet,heart_eyes,weary
bet. btw i finished future diary and i was happy with the ending ️,relaxed,wink
wanna bet,wink,smirk
I bet,blush,weary
I bet ! I may come out for homecoming though you'll see me soon though &amp; we can TU !,smirk,blush
"Yeah Me Too, They Were Fucking For Rides To Walmart ️",relaxed,weary
Alright.....ill see you Sunday then best friend!!!!,heart_eyes,sob
I bet he is,wink,yum
I could eat subway everyday,yum,heart_eyes
i peep that new vid with kelly and maddy,smirk,sob
that's a bet,yum,smirk
Walmart selling Jordans now,weary,sob
mcdonalds,heart_eyes,yum
To get Starbucks or to not get Starbucks,weary,flushed
Never mind Walmart in linden has the creeps. Some dude snuck up on me whispered beautiful in my ears,flushed,sob
I bet,wink,weary
okay bet,smirk,blush
I bet it sucks to be you right now,yum,smirk
that's a bet,smirk,blush
bet that,wink,blush
Brotherly Love is on BET,sob,blush
I bet you have gorgeous feet !,heart_eyes,sob
Them hoes bet not fw my juvie,smirk,blush
I bet she does,grin,wink
Starbucks,heart_eyes,yum
Mcdonalds,heart_eyes,yum
The barista at Starbucks,grin,weary
That's not funny I just did it in subway &amp; it's too early to even be drunk,weary,sob
I bet bitch,weary,sob
Y'ALL,heart_eyes,sob
craving Starbucks,sob,weary
bet u would like that,grin,smirk
I BET YOU ARE,grin,wink
Bet y'all didn't know I was a yoga enthusiast back in my day,smirk,sob
I bet it was awesome,heart_eyes,smirk
I really want starbucks,sob,weary
how many yall wanna bet that girl's dna test said she was only like 1% asian,weary,wink
"*drools* I'll bet that jerky is delish, I can almost smell it from here! #zshq",blush,sob
Starbucks sounds so good rn,yum,weary
I wish,sob,weary
I want to wear hats and scarves and boots! And let's not forget about peppermint mocha from Starbucks,heart_eyes,sob
I've been wanting Starbucks since 5ever but I fight the urge cause it's sooooooooo much sugar,sob,weary
I NEED STARBUCKS,heart_eyes,weary
Want subway,sob,weary
I bet y'all are happy we have police now,wink,blush
I bet,sob,weary
"I bet girl, pray so you can have patience .",wink,blush
If I call him up I bet you he come,wink,smirk
So true especially with dead threats,weary,sob
You're so cute we proved him wrong. #bet,weary,sob
You bet️,relaxed,wink
you bet,yum,wink
Starbucks,heart_eyes,yum
what your favorite character in stranger things? i bet it's eleven #Howl4ACure,yum,heart_eyes
"We Get That A lot, But Bet",sob,blush
That subway was so good,weary,yum
Starbucks is calling my name,yum,weary
Starbucks for breakfast,flushed,yum
okay bet. ️,relaxed,sob
I genuinely miss working at the Starbucks on campus...come back,sob,weary
you bet I do,wink,blush
bet you wont,smirk,grin
so y'all weren't going to ask me? bet,blush,wink
i bet,smirk,weary
This burger was really filling Finally we have standard sized burgers. #burgerking #whopper…,heart_eyes,weary
I bet,smirk,weary
Starbucks real quick,smirk,sob
can someone bring me Starbucks tmrw morning,sob,weary
lmao bet,grin,blush
The right one please,grin,sob
Pizza Hut,weary,yum
Not Starbucks,weary,sob
Starbucks is the best,blush,weary
I bet you are,smirk,wink
these boys shooting 20 bet 20,flushed,sob
Happy #IcedCoffeeDay! #MsMcDavittRunsOnDunkin #foundagiftcardinmypurse,blush,heart_eyes
i bet,blush,weary
I bet,wink,weary
Subway never fails,heart_eyes,weary
I got subway,blush,yum
I want Starbucks,sob,weary
Cycle wale Anna,heart_eyes,sob
I need subway,sob,weary
fine ass on BET,heart_eyes,blush
Emma: bet I can throw this strawberry in the trash Me: oh nah *emma throws and makes it* Emma: BUCKETS BITCH!!,sob,heart_eyes
You bet!,wink,blush
Subway cookies,heart_eyes,yum
I BET,blush,weary
Oweeeer my bitch even look phat from the front,smirk,sob
I Surely Aint,heart_eyes,sob
I'm more excited for you to be back than you are I bet,heart_eyes,blush
Brotherly love on BET,heart_eyes,blush
let's all go to Starbucks then a haunted house on a little girls date,heart_eyes,weary
Starbucks sounds great rn,yum,weary
Obsessed with subway,heart_eyes,yum
Oh u bet Ashwin..never let go the kid in u..,wink,sob
Bet not,sob,wink
"you should do it ️ i'll check your ig later, i bet you draw pretty well ️",relaxed,blush
Subway sounds so bomb rn,sob,weary
I'm willing to bet he did!! Did you use this song Ashish ?,grin,blush
SOMEONE PLS BRING ME A DOUBLE SHOT VANILLA STARBUCKS . I will literally love u forever,sob,weary
Oh my ️,relaxed,heart_eyes
Omg You Right ! 2 Hibachi &amp; 2 Subway,yum,heart_eyes
ard bet,sob,blush
Yooo!! The nanakuli mcdonalds just put my order on the house! Free food tonight b,yum,weary
My remedy 2 stress shopping,grin,sob
Ight bet,grin,smirk
I bet she is,wink,weary
learning a lot about willpower since im now living 5 mins away from mcdonalds,sob,heart_eyes
"You ain't gotta like me, bet you know my name thou",wink,smirk
bet you do,wink,smirk
Starbucks sounds so good right now,heart_eyes,weary
I bet u can,wink,smirk
I bet bro,wink,sob
@ Starbucks,heart_eyes,blush
Donuts and Starbucks sound so bomb right now,heart_eyes,weary
My life,heart_eyes,weary
you bet ️,relaxed,wink
alright bet,grin,blush
Got free starbucks while we were stuck during the rain,grin,blush
bet bet now hook me up with one of ya hgs,smirk,sob
That's a bet,smirk,blush
I bet,smirk,weary
I want subway,yum,weary
At subway,weary,yum
big bet,heart_eyes,blush
I want some Starbucks,yum,weary
"""Nigga ain't thinking about that girl""️",relaxed,sob
Aww bet,heart_eyes,blush
I'm Gonna Basically Live In Starbucks During The Fall,blush,weary
see I don't like nobody but dominos,sob,weary
I lived my Wildcat dreams last night!,grin,sob
Brotherly Love on BET,heart_eyes,blush
I bet you won't,smirk,sob
I bet you are!,yum,wink
what?,sob,flushed
Yeah. STARBUCKS,smirk,weary
and by the way dominos is the shit fuck ur feelings,heart_eyes,weary
subway today?,heart_eyes,yum
bet that,wink,blush
Oh I bet,smirk,wink
"Toddles ma noddles, we takin my birthday ass to McDonalds",grin,sob
White chocolate mocha from Starbucks,yum,heart_eyes
i forgot how much fu u were betül,heart_eyes,sob
Woah,flushed,heart_eyes
ok bet ️,relaxed,blush
I luv,heart_eyes,sob
I bet,heart_eyes,weary
wanna bet?,blush,smirk
Wanna bet,wink,smirk
Dami Im live is an experience not to be missed. She is touring Australia to sold out venues and standing ovations http…,heart_eyes,sob
Bet you do,smirk,wink
You ain't gotta like me bet you know my name tho,smirk,wink
OH MY LANTA BABY GIRL SLAY ME,heart_eyes,sob
Mf's got so much negative shot to say bout ya it's crazy but I bet they never said my bag was funny tho,smirk,sob
Pumpkin spice,heart_eyes,yum
I bet the view was worth it,heart_eyes,sob
You ain't gotta like me bet you know my name though,smirk,wink
Finna be me,weary,sob
i bet,grin,weary
I bet...,wink,weary
Aww bet,smirk,blush
i bet you are,sob,wink
Iight Bet,sob,wink
I wish chick-fil-a was close so I wouldn't have to get mcdonalds breakfast,sob,weary
Thank you,grin,blush
I bet,wink,weary
The most important ones are friends like that go to mcdonalds with you at 1:26am ️ #friesbeforeguys,relaxed,sob
You lucky I bet his dick was magic,heart_eyes,sob
I bet!! I'm glad️,relaxed,blush
In dire need of Starbucks,sob,weary
It is,smirk,blush
I want some subway,yum,weary
Ight bet,sob,smirk
I bet you thought I forgot,blush,sob
how many yall wanna bet that girl's dna test said she was only like 1% asian,weary,wink
oh yeah I bet,yum,grin
I saw some videos about it but I bet the book will be waaay better. Thanks Georgy!,grin,blush
I bet,yum,weary
Police standoff with ???? Lord they bet not hurt my baby!! Please just follow their instructions!,weary,sob
This movie on BET pissing me off,grin,sob
&amp; Range Rovers,heart_eyes,sob
Bet tell her you need that 50,yum,smirk
I bet this is what you had in mind,wink,sob
Hell yea had me stressin bout how I was gone tell chassity,weary,sob
that's a bet,wink,blush
Walmart deli be so good,heart_eyes,weary
honestly my biggest pet peeve is Starbucks taking forever when they're empty,weary,heart_eyes
When your Starbucks is free I might marry this cashier,heart_eyes,blush
A Starbucks drink sounds good asf rn,sob,weary
I'm crying,weary,sob
I wish Starbucks delivered,sob,weary
